_id,added_timestamp,as_owner,asn,country,duration_log,failure_count,has_html,has_javascript,has_screenshot,ip_address,is_priority,last_analysis_date,last_analysis_stats.harmless,last_analysis_stats.malicious,last_analysis_stats.suspicious,last_analysis_stats.timeout,last_analysis_stats.undetected,processed_timestamp,reputation,source,target_geo_country,to_skip,total_votes.harmless,total_votes.malicious,whois_date,x_days_ago,files_log
6437b53f71133c5b7aee5795,2023-04-13T15:54:39.303Z,"Tencent Building, Kejizhongyi Avenue",132203,SG,null,0,0,0,0,101.32.113.139,0,1675875775,73,0,0,0,14,2023-04-18T21:30:18.203Z,0,csv,NL,,0,0,1675875782,7,
6437b53f71133c5b7aee5796,2023-04-13T15:54:39.303Z,"Tencent Building, Kejizhongyi Avenue",132203,SG,null,0,0,0,0,101.32.113.56,0,1681635533,86,0,0,0,0,2023-04-18T20:20:58.964Z,0,csv,NL,,0,0,1679417862,7,
6437b53f71133c5b7aee5797,2023-04-13T15:54:39.303Z,ACE,139341,NL,null,0,1,0,1,101.33.29.101,0,1672705890,73,0,0,0,14,2023-04-18T21:31:04.834Z,0,csv,NL,,0,0,1672705893,7,
6437b53f71133c5b7aee5798,2023-04-13T15:54:39.303Z,ABC Consultancy,213371,NL,null,0,1,0,1,103.145.13.39,0,1680796741,69,0,0,0,18,2023-04-18T19:30:06.469Z,0,csv,NL,,0,0,1678391314,7,
6437b53f71133c5b7aee5799,2023-04-13T15:54:39.303Z,ABC Consultancy,213371,NL,null,0,1,0,1,103.145.13.97,0,1681748423,67,2,0,0,18,2023-04-18T18:07:00.830Z,0,csv,NL,,0,0,1681748729,7,
6437b53f71133c5b7aee579a,2023-04-13T15:54:39.303Z,DIGITALOCEAN-ASN,14061,NL,null,0,0,0,0,104.248.206.124,0,1680280142,64,6,1,0,16,2023-04-18T20:59:47.271Z,0,csv,NL,,0,0,1679867254,7,
6437b53f71133c5b7aee579b,2023-04-13T15:54:39.303Z,CLOUDFLARENET,13335,NL,null,0,0,0,0,104.28.155.221,0,1669090553,86,0,0,0,0,2023-04-18T21:31:19.847Z,0,csv,NL,,0,0,1669090882,7,
6437b53f71133c5b7aee579c,2023-04-13T15:54:39.303Z,Hosting technology LTD,207651,NL,null,0,0,0,0,109.107.177.36,0,1678828485,86,0,0,0,0,2023-04-18T19:02:50.460Z,0,csv,NL,,0,0,,7,
6437b53f71133c5b7aee579d,2023-04-13T15:54:39.303Z,NForce Entertainment B.V.,43350,NL,null,0,0,0,0,109.201.130.11,0,1681047042,86,0,0,0,0,2023-04-18T17:44:03.516Z,0,csv,NL,,0,0,1681047383,7,
6437b53f71133c5b7aee579e,2023-04-13T15:54:39.303Z,NForce Entertainment B.V.,43350,NL,null,0,0,0,0,109.201.133.205,0,1671479054,76,1,0,0,10,2023-04-18T19:55:04.076Z,0,csv,NL,,0,0,1671479363,7,
